==12716== NVPROF is profiling process 12716, command: .\runnable.exe
==12716== Profiling application: .\runnable.exe
==12716== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
ms,ms,,,,,,,,B,KB,KB,GB/s,,,,,,,
685.773400,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",72
685.773700,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",73
685.774100,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",74
685.774400,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",75
685.774800,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",76
685.775100,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",77
685.775400,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",78
685.775700,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",79
685.776000,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",80
685.776300,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",81
685.776700,0.000100,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",82
685.777000,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",83
685.777300,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",84
685.777600,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",85
685.778000,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",86
685.778300,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",87
685.778600,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",88
685.779000,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",89
685.779300,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",90
685.779600,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",91
685.780000,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",92
685.780300,0.000200,,,,,,,,,,,,,,,,,"cuDeviceGetAttribute",93
