==16952== NVPROF is profiling process 16952, command: runnable.exe
==16952== Profiling application: runnable.exe
==16952== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,us,,us,us,us,
"GPU activities",100.000000,4.928000,1,4.928000,4.928000,4.928000,"inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)"
"API calls",98.649237,905.600000,1,905.600000,905.600000,905.600000,"cudaLaunchKernel"
"API calls",1.220044,11.200000,1,11.200000,11.200000,11.200000,"cudaDeviceSynchronize"
"API calls",0.130719,1.200000,1,1.200000,1.200000,1.200000,"cuDeviceGetCount"
