==29064== NVPROF is profiling process 29064, command: runnable.exe
==29064== Profiling application: runnable.exe
==29064== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,us,,us,us,us,
"GPU activities",100.000000,14.304000,4,3.576000,3.296000,4.384000,"inverse_avg_pooling_reg(float*, float*, float*, int, int, int, int, int, int)"
"API calls",98.612149,923.700000,4,230.925000,12.000000,874.200000,"cudaLaunchKernel"
"API calls",1.163660,10.900000,1,10.900000,10.900000,10.900000,"cudaDeviceSynchronize"
"API calls",0.224191,2.100000,1,2.100000,2.100000,2.100000,"cuDeviceGetCount"
