==21820== NVPROF is profiling process 21820, command: runnable.exe
==21820== Profiling application: runnable.exe
==21820== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,us,,us,us,us,
"GPU activities",100.000000,4.064000,1,4.064000,4.064000,4.064000,"matrix_product_shared(float*, float*, float*, int, int, int, int)"
"API calls",98.418893,983.500000,1,983.500000,983.500000,983.500000,"cudaLaunchKernel"
"API calls",1.461023,14.600000,1,14.600000,14.600000,14.600000,"cudaDeviceSynchronize"
"API calls",0.120084,1.200000,1,1.200000,1.200000,1.200000,"cuDeviceGetCount"
