==20980== NVPROF is profiling process 20980, command: runnable.exe
==20980== Profiling application: runnable.exe
==20980== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,us,,us,us,us,
"GPU activities",100.000000,3.328000,1,3.328000,3.328000,3.328000,"matrix_product(float*, float*, float*, int, int, int)"
"API calls",99.341775,1977.100000,1,1977.100000,1977.100000,1977.100000,"cudaLaunchKernel"
"API calls",0.592905,11.800000,1,11.800000,11.800000,11.800000,"cudaDeviceSynchronize"
"API calls",0.065320,1.300000,1,1.300000,1.300000,1.300000,"cuDeviceGetCount"
