==2476== NVPROF is profiling process 2476, command: runnable.exe
==2476== Profiling application: runnable.exe
==2476== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,us,,us,us,us,
"GPU activities",100.000000,523.604000,96,5.454000,5.407000,6.176000,"convolution_shared(float*, float*, float*, int, int, int, int)"
"API calls",99.102845,3026.700000,96,31.528000,13.600000,896.100000,"cudaLaunchKernel"
"API calls",0.838217,25.600000,1,25.600000,25.600000,25.600000,"cudaDeviceSynchronize"
"API calls",0.058937,1.800000,1,1.800000,1.800000,1.800000,"cuDeviceGetCount"
