==26080== NVPROF is profiling process 26080, command: runnable.exe
==26080== Profiling application: runnable.exe
==26080== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,us,,us,us,us,
"GPU activities",100.000000,488.818000,96,5.091000,5.055000,5.728000,"convolution_shared(float*, float*, float*, int, int, int, int)"
"API calls",99.258982,2384.300000,96,24.836000,10.500000,882.200000,"cudaLaunchKernel"
"API calls",0.682736,16.400000,1,16.400000,16.400000,16.400000,"cudaDeviceSynchronize"
"API calls",0.058282,1.400000,1,1.400000,1.400000,1.400000,"cuDeviceGetCount"
