==20272== NVPROF is profiling process 20272, command: runnable.exe
==20272== Profiling application: runnable.exe
==20272== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,us,,us,us,us,
"GPU activities",100.000000,884.853000,96,9.217000,9.120000,9.632000,"convolution_base(float*, float*, float*, int, int, int, int)"
"API calls",99.193598,3247.400000,96,33.827000,18.200000,983.400000,"cudaLaunchKernel"
"API calls",0.736148,24.100000,1,24.100000,24.100000,24.100000,"cudaDeviceSynchronize"
"API calls",0.070255,2.300000,1,2.300000,2.300000,2.300000,"cuDeviceGetCount"
